transaction_id,date,amount,description,label
1,2024-01-02,-49.99,Spotify subscription,1
2,2024-01-15,-120.00,Rent payment,1
3,2024-02-02,-49.99,Spotify subscription,1
4,2024-02-15,-120.00,Rent payment,1
5,2024-03-02,-49.99,Spotify subscription,1
6,2024-03-15,-120.00,Rent payment,1
7,2024-01-05,-12.50,Coffee shop,0
8,2024-01-12,-30.00,Gas station,0
9,2024-02-10,-25.00,Groceries,0
10,2024-02-20,-45.00,One-time movie purchase,0
11,2024-03-07,-35.00,Restaurant dinner,0
12,2024-03-21,-60.00,Clothing store,0
13,2024-01-25,-19.99,Netflix monthly plan,1
14,2024-02-25,-19.99,Netflix monthly plan,1
15,2024-03-25,-19.99,Netflix monthly plan,1
16,2024-01-28,-80.00,Gym membership,1
17,2024-02-28,-80.00,Gym membership,1
18,2024-03-28,-80.00,Gym membership,1
19,2024-01-10,-15.00,Electricity top-up,0
20,2024-02-10,-15.00,Electricity top-up,0
